price,district,age,trade_num,house_num,building_num,service_cost,volume_fraction,office_num,mall_num,restaurant_num,bank_num,market_num,entertainment_num,hospital_num,park_num,bus_num,subway_num
98851,east,15,19,1332,11,5.6,3.71,44,8,608,68,30,150,4,11,34,6
50842,east,14,110,17318,126,0.52,2.6,13,11,846,53,332,247,10,14,76,7
65891,east,11,93,3669,40,2.4,2.6,52,7,818,65,94,154,4,3,56,5
86476,east,11,12,1555,13,6,3,27,17,807,70,101,196,2,5,42,2
91991,east,12,24,2532,29,3.97,2.48,100,32,2006,170,136,331,17,19,150,9
106441,west,7,3,136,4,7.8,1.47,12,6,468,58,74,109,3,2,41,3
54603,east,8,148,6761,27,1.98,3.11,20,17,981,41,98,169,6,5,53,5
144019,east,6,36,2468,17,4.18,2.8,56,14,639,70,31,92,2,4,33,9
105053,east,13,86,8356,24,2.5,2.6,38,19,409,78,39,128,4,1,26,2
120634,east,16,14,694,4,8,3.05,242,85,3024,358,134,415,8,7,68,10
74307,east,7,33,3318,18,2.9,2.34,13,11,846,53,332,247,10,14,76,7
97432,west,5,43,4602,23,2.5,2.5,13,11,372,50,60,103,5,4,41,1
99480,east,15,9,1098,5,6.5,3.98,44,8,608,68,30,150,4,11,34,6
102692,east,6,35,5474,22,3.1,2.7,38,19,409,78,39,128,4,1,26,2
105858,west,13,26,2463,12,2.2,3.8,43,5,457,75,54,135,4,3,35,1
108464,east,9,16,3061,18,4.38,2.7,100,32,2006,170,136,331,17,19,150,9
96084,east,9,25,3952,18,2.83,3.2,36,6,664,76,64,168,10,2,59,4
94162,west,7,16,1614,48,4.2,1.52,12,6,468,58,74,109,3,2,41,3
63513,east,11,128,6244,18,2.12,3,27,17,807,70,101,196,2,5,42,2
121390,east,11,8,1884,42,3.5,1.5,86,19,831,174,65,292,8,20,92,9
90976,east,14,48,2479,18,3.97,2.89,36,6,664,76,64,168,10,2,59,4
92150,east,15,42,5147,25,2.4,2.3,86,19,831,174,65,292,8,20,92,9
63480,west,8,66,4022,53,2.58,1.39,37,7,742,120,270,401,11,18,300,4
123473,west,12,12,5510,24,2.6,2,51,6,477,117,63,169,14,9,72,4
107563,east,8,21,1796,18,3.98,2.6,86,19,831,174,65,292,8,20,92,9
94572,east,5,7,2184,8,5.48,2.6,27,17,807,70,101,196,2,5,42,2
89663,east,11,33,2748,10,2.98,3.5,86,19,831,174,65,292,8,20,92,9
136209,west,15,11,1379,28,3.5,1.75,58,16,579,137,59,214,3,5,55,5
95784,west,13,43,5414,14,2.1,2.52,43,5,457,75,54,135,4,3,35,1
171559,west,12,2,920,39,4.5,1.04,58,16,579,137,59,214,3,5,55,5
43770,east,6,265,9516,19,2.98,2.38,10,7,676,36,162,189,4,7,113,3
91038,west,13,23,1717,13,2.5,2.7,9,3,309,46,48,110,5,1,52,1
75039,west,8,35,2249,16,1.9,2.37,15,13,419,52,87,128,3,5,67,2
86602,east,19,40,3379,51,1.1,3,38,19,409,78,39,128,4,1,26,2
81654,east,10,13,2262,15,3.9,3.35,100,32,2006,170,136,331,17,19,150,9
109224,west,14,6,1246,9,2.52,2.2,58,16,579,137,59,214,3,5,55,5
80170,east,11,38,2572,8,2.5,4.67,100,32,2006,170,136,331,17,19,150,9
102412,east,17,16,1671,9,2.48,3.17,38,19,409,78,39,128,4,1,26,2
111873,west,14,4,1104,9,2.52,1.7,58,16,579,137,59,214,3,5,55,5
92526,east,10,14,2401,7,3.12,2.97,56,14,639,70,31,92,2,4,33,9
116400,west,4,11,1360,8,2.52,2.06,58,16,579,137,59,214,3,5,55,5
101420,west,17,20,2696,14,2.55,2.8,51,6,477,117,63,169,14,9,72,4
58415,east,13,36,4759,15,1.37,2.9,36,6,664,76,64,168,10,2,59,4
110566,east,11,14,1672,10,3.5,4,54,11,394,61,22,113,3,1,15,4
105584,east,3,2,876,19,5.58,2.5,7,6,313,26,84,86,3,4,63,4
76030,east,20,175,11387,46,1.2,2.29,65,14,778,98,55,151,9,5,62,8
85958,east,18,5,437,6,2.5,0.6,86,19,831,174,65,292,8,20,92,9
54920,east,7,66,6327,76,2.5,1.5,20,17,981,41,98,169,6,5,53,5
158669,west,5,12,1469,4,2.5,2.13,52,8,502,110,82,178,8,8,78,1
82761,west,13,23,1962,53,1.58,1.34,37,7,742,120,270,401,11,18,300,4
154397,east,7,4,545,7,5.97,2.8,56,14,639,70,31,92,2,4,33,9
105271,east,14,16,1749,16,2.64,2.4,46,6,311,40,45,105,16,5,39,3
59419,east,10,96,5067,38,1.8,2.2,20,17,981,41,98,169,6,5,53,5
128702,west,13,126,8956,17,3.18,3.2,43,5,457,75,54,135,4,3,35,1
133191,west,25,26,2014,16,1.75,1.9,45,1,219,72,30,68,8,4,27,2
111710,east,14,21,2755,16,2.58,2.3,38,19,409,78,39,128,4,1,26,2
61682,east,11,54,4219,16,2.86,4.3,22,10,459,47,52,125,3,12,67,4
134308,east,12,10,1730,8,2.97,4.23,38,19,409,78,39,128,4,1,26,2
113654,west,16,41,2800,17,2.09,2.5,114,19,1467,191,145,331,14,9,100,2
139656,west,15,10,1611,12,2.2,4.74,58,16,579,137,59,214,3,5,55,5
47771,east,12,65,4210,52,0.62,1.7,10,7,676,36,162,189,4,7,113,3
